,S/N,Type,ABIA STATE,ADDRESS,Latitude,Longitude
,228,Daily,Oku Ubo Market,"533108, Abak, Akwa Ibom",4.985143000,7.768255000
,229,Daily,Usuk Ibakesi Market,"531101, Odoro Ikpe, Akwa Ibom",5.329751000,7.730467000
,230,Daily,Akpa Esiek Market,"533101, Ikot Etim, Akwa Ibom",4.864206000,7.566265000
,231,Daily,Ikot Akpan Ata Evening Market,"Ikot Akpan-Ata, Ikot Aba",4.579867000,7.583498000
,232,Daily,Abasute Market,"534103, Ikot Akan, Akwa Ibom",4.611786000,7.648845000
,233,Daily,Abiaran Market,"534103, Ikot Akan, Akwa Ibom",4.607540000,7.64737500
,234,Daily,Ediene Ikot Inyang Market,"533112, Ikot Osute, Akwa Ibom",4.68080200,7.60691600
,235,Daily,Ikot Abasi Eyop Market,"530103, Nto Ndan, Akwa Ibom",5.266664000,7.664993000
,236,Daily,Urua Ikot Abasi Market,"522102, Etinan, Akwa Ibom",4.859532000,7.849874000
,237,Daily,Urua Nko Market,"522106, Idu, Akwa Ibom",4.851787000,7.927870000
,238,Daily,Afaha Nsung Market,"521106, Okopedi, Akwa Ibom",4.848719000,8.12288200
,239,Daily,Afaha Akai Market,"521104, Odot, Akwa Ibom",4.738976000,8.103105000
,240,Daily,Itak Uyati Market,"521101, Okopedi, Akwa Ibom",4.819039000,8.124910000
,241,Daily,Afia Nsit Atai Market,"522104, Odot, Akwa Ibom",4.790117000,7.931190000
,242,Daily,Asakpa Market,"533106, Ekeffe, Akwa Ibom",4.805429000,7.57123800
,243,Daily,Obufi Market,"521101, Okopedi, Akwa Ibom",4.843899000,8.144176000
,244,Daily,Adadia Market,"520106, Idu, Akwa Ibom",4.969045000,8.076451000
,245,Daily,Ikot Osurua Market,"A342, 530102, Ikot Ekpene, Akwa Ibom",5.16313300,7.668967000
,246,Daily,Ikot Udoe Market,"530102, Ikot Ekpene, Akwa Ibom",5.205681000,7.687413000
,247,Daily,Ifuho Community Market,"530101, Ikot Ekpene, Akwa Ibom",5.178965000,7.690525000
,248,Daily,Urua Mbakara,"530101, Ikot Ekpene, Akwa Ibom",5.184023000,7.713369000
,249,Daily,Obo Annang International Market,"530112, Adiasim, Akwa Ibom",5.088828000,7.725052000
,250,Daily,Atai Ikwen Market,"531107, Nto Ndan, Akwa Ibom",5.284437000,7.622881000
,251,Daily,Okpo Eto Ikot Imo Market,"530105, Nto Ndan, Akwa Ibom",5.267951000,7.597390000
,252,Daily,Nsong Eto Market,"Topfaith Rd, 530113, Adiasim, Akwa Ibom",5.08195800,7.714353000
,253,Daily,Ibup Itam Main Market,"Itu Rd, Off Ikot Ekpene Rd, 520262, Uyo",5.047915000,7.900264000
,254,Daily,Itam Market,"2VWX+HF9, A342, 520108, Uyo, Akwa Ibom",5.046689000,7.898860000
,255,Daily,Ikpa Market,"520117, Ikot Ntung, Akwa Ibom",5.192754000,7.897354000
,256,Daily,Abiakpo Ikot Abasi Eduo market,"530105, Abuakpo-Alatsha, Akwa Ibom",5.310775000,7.580431000
,257,Daily,Manamo Market,"Ekeng Afaha Obong, Ikot, Abak",5.027672000,7.751217000
,258,Daily,Editaha Weekly Market,"530105, Nto Ndan, Akwa Ibom",5.287936000,7.6076160
,259,Daily,Nkari Central Market,"531115, Nkalu, Akwa Ibom",5.400486000,7.659375000
,260,Daily,Abama Market,"530105, Nto Ndan, Akwa Ibom",5.304065000,7.607964
,261,Daily,Community Market,"523115, Uko Ntigha, Akwa Ibom",4.674702000,8.213437000
,262,Daily,Enwang Market,"523115, Enwang, Akwa Ibom",4.655165000,8.253371000
,263,Daily,Proposed Oron Interntional Market,"523119, Akwa Ibom",4.856693000,8.220864000
,264,Daily,Ikot Antai Ema Market,"521102, Ataibang, Akwa Ibom",4.855517000,8.18250100
,265,Daily,Esuk Ikim Ekeme Market,"G3V2+P6P, 524110, Kwa Ibo, Akwa Ibom",4.54464100,8.050701000
,266,Daily,Nkim Itam Local Market,"50112, Oko Ita, Akwa Ibom",5.177529000,7.99263600
,267,Daily,Ekpene Ukim Main Market,"520106, Ekpene Ukim, Akwa Ibom",4.910036000,8.035620000
,268,Daily,Akpan Ekpo Market,"520103, Uyo, Akwa Ibom",5.038669000,7.923960000
,269,Daily,Urua Mbet Ebe,"Market Square by 1st Bank 532101, Abak, Akwa Ibom",4.983247000,7.786827000
,270,Daily,Urua Abasiumo ,"521110, Nung Udoe, Akwa Ibom",4.918735000,7.964809000
,271,Daily,Ikot Obong Market,"533112, Idung Ntuk Um, Akwa Ibom",4.736850000,7.628703000
,272,Daily,Ekpuk Market,"534109, Oniong, Akwa Ibom",4.838435000,7.783554000
,273,Daily,Ntenge Akana Market,"533108, Aja Obiakpa, Akwa Ibom",4.840508000,7.664662000
,274,Daily,Idum Market,"533108, Ikot Okoro, Akwa Ibom",4.906397000,7.691098000
,275,Daily,Ute Etok Market,"533114, Ikot Osute, Akwa Ibom",4.696860000,7.556156000
,276,Daily,Urua Mkpafi,"522103, Ikot Ekan, Akwa Ibom",4.940225000,7.831845000
,277,Daily,Obio Akai Market,"524106, Mkpat Enin, Akwa Ibom",4.692200000,7.767094000
,278,Daily,Ikot Akpaotu Market,"522108, Ikot Okobo, Akwa Ibom",4.730685000,7.941322000
,279,Daily,Ndon Eyo Market,"532111, Eket, Akwa Ibom",4.631168000,7.857151000
